##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	79	120	1.52				1	525	1	12	96	485	Automatic	515			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		3721.182	3401.09	3759.023	3140.274	2839.581	2803.337	2840.162	3294.725	3641.708	3404.224	3651.471	3764.837		
		9.0552	5.3438	5.2476	5.318	5.1724	5.3086	5.2538	5.2488	5.308	5.3106	5.1906	5.3224		
		3289.447	3615.763	3800.338	3234.539	3024.248	3080.173	2980.698	3366.007	3684.371	4196.266	3859.873	3948.447		
		9.2126	5.5046	5.4786	5.5296	5.3238	5.459	5.414	5.397	5.4566	5.469	5.3618	5.4704		
		2978.244	2953.493	3185.388	3268.538	3200.589	3204.698	3180.572	3259.158	3570.579	3954.558	3392.612	3557.719		
		9.3818	5.653	5.6394	5.6896	5.4846	5.62	5.6062	5.5866	5.6068	5.629	5.5206	5.6284		
		2791.093	2762.969	3065.236	3533.92	2988.653	3375.661	3693.184	3489.045	3875.682	3922.045	3981.64	3747.665		
		9.5418	5.8034	5.798	5.8398	5.633	5.779	5.7652	5.7474	5.7668	5.779	5.6802	5.7884		
		2993.638	3033.962	3090.863	3028.101	3048.603	3294.652	3619.32	3461.38	3506.633	3872.576	4002.374	3408.556		
		9.6922	5.9634	5.9484	5.991	5.7834	5.9294	5.9242	5.8976	5.919	5.9302	5.8306	5.9392		
		3016.409	3699.374	3257.643	3192.612	3439.802	3215.848	3688.623	3572.015	3985.798	3864.911	4023.812	3492.287		
		9.8522	6.186	6.1086	6.15	5.9934	6.0896	6.0744	6.048	6.0774	6.0894	6.061	6.0888		
		2887.717	2839.623	3524.348	3174.757	3289.085	3426.373	3421.581	3604.257	3951.975	4257.794	4481.027	4081.797		
		10.0134	6.344	6.2686	6.3002	6.1434	6.3018	6.2248	6.208	6.3008	6.311	6.211	6.2488		
		2847.776	3263.002	2984.368	3182.185	3379.823	3472.462	3756.221	3495.101	4044.616	4486.994	4435.225	3817.5		
		
	37.00	10.3128	6.624	6.649	6.6404	6.5438	6.5918	6.6664	6.646	6.5888	6.5998	6.5514	6.5496		
