,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
30,2,10^-08,Compound A,3285.82575,279.8467557472299,3.048
31,2,10^-08,Compound B,3477.0485,193.3717047493454,2.9932
32,2,10^-08,Compound C,3832.3047500000002,263.3285053026255,2.9787
33,2,10^-09,Compound A,3048.3075000000003,87.25105228207661,2.8753
34,2,10^-09,Compound B,3353.91425,236.53681003369837,2.8365
35,2,10^-09,Compound C,3706.4575,295.463416443277,2.82345
36,2,10^-10,Compound A,3087.831,364.5848585327319,2.71905
37,2,10^-10,Compound B,3364.7635,259.250545131543,2.6755
38,2,10^-10,Compound C,3897.4759999999997,104.79572499869529,2.6582
39,2,10^-11,Compound A,3103.32175,141.410384346113,2.5584000000000002
40,2,10^-11,Compound B,3208.768,64.0317902919985,2.5202999999999998
41,2,10^-11,Compound C,3626.203,226.7657625171816,2.5044
42,2,10^-12,Compound A,3433.64275,235.9516584435232,2.4001
43,2,10^-12,Compound B,3066.7607500000004,182.99782694223148,2.3622
44,2,10^-12,Compound C,3907.1465000000003,204.75630430749746,2.34325
45,2,Control,Compound A,3511.6945000000005,319.33663134326275,2.2432
46,2,Control,Compound B,2978.4809999999998,241.16809297942856,2.16435
47,2,Control,Compound C,3626.93825,167.60806237842056,2.1828
48,3,10^-06,Compound A,3096.22375,177.12410227930553,4.8175
49,3,10^-06,Compound B,3515.28875,207.8015052197224,4.7454
50,3,10^-06,Compound C,4200.04175,316.6179221094591,4.77275
51,3,10^-07,Compound A,3120.17,346.2874250898146,4.6624
